Fold,KS Statistic,P-Value,Result
0,0.06329113924050633,0.9110442522024013,similar
1,0.03164556962025317,0.999998842540163,similar
2,0.06329113924050633,0.9110442522024013,similar
3,0.02531645569620253,0.9999999998480622,similar
4,0.05063291139240506,0.9878786244163614,similar
5,0.06329113924050633,0.9110442522024013,similar
6,0.05063291139240506,0.9878786244163614,similar
7,0.03164556962025317,0.999998842540163,similar
8,0.0189873417721519,1.0,similar
9,0.02531645569620253,0.9999999998480622,similar
